week,rat,type,hit,slip,miss,total
baseline,142,exp,142,0,0,142
baseline,143,exp,124,1,0,125
baseline,144,exp,106,2,0,108
baseline,147,exp,100,0,0,100
baseline,179,exp,150,1,6,157
baseline,215,exp,95,0,0,95
baseline,216,exp,114,0,1,115
baseline,217,exp,122,0,2,124
baseline,218,exp,105,2,1,108
baseline,224,ctrl,175,4,0,179
baseline,405,exp,98,2,0,100
baseline,406,ctrl,118,0,0,118
baseline,414,exp,116,0,0,116
week3,142,exp,39,40,31,110
week3,143,exp,51,25,21,97
week3,144,exp,54,39,21,114
week3,147,exp,50,34,27,111
week3,179,exp,46,39,24,109
week3,215,exp,42,40,24,106
week3,216,exp,25,54,32,111
week3,217,exp,28,47,28,103
week3,218,exp,21,32,29,82
week3,224,ctrl,28,54,44,126
week3,405,exp,6,63,43,112
week3,406,ctrl,9,51,40,100
week3,414,exp,7,46,57,110
week4,142,exp,27,21,42,90
week4,143,exp,80,26,20,126
week4,144,exp,64,9,30,103
week4,147,exp,84,8,20,112
week4,179,exp,48,38,34,120
week4,215,exp,61,16,30,107
week4,216,exp,52,28,35,115
week4,217,exp,55,17,37,109
week4,218,exp,55,37,23,115
week4,224,ctrl,51,34,24,109
week4,405,exp,6,17,77,100
week4,406,ctrl,5,34,79,118
week4,414,exp,10,36,70,116
week6,142,exp,59,25,27,111
week6,143,exp,32,37,27,96
week6,144,exp,54,37,22,113
week6,147,exp,78,10,25,113
week6,179,exp,66,33,25,124
week6,215,exp,35,23,4,62
week6,216,exp,88,28,35,151
week6,217,exp,65,44,14,123
week6,218,exp,67,53,13,133
week6,224,ctrl,55,23,39,117
week6,405,exp,28,58,43,129
week6,406,ctrl,28,52,51,131
week6,414,exp,29,54,51,134
week7,142,exp,49,13,45,107
week7,143,exp,56,21,39,116
week7,144,exp,52,18,45,115
week7,147,exp,38,42,31,111
week7,179,exp,40,45,35,120
week7,215,exp,37,44,23,104
week7,216,exp,35,47,33,115
week7,217,exp,43,38,27,108
week7,218,exp,28,44,32,104
week7,224,ctrl,31,51,27,109
week7,405,exp,29,52,49,130
week7,406,ctrl,21,54,58,133
week7,414,exp,21,52,51,124
week8,142,exp,45,47,15,107
week8,143,exp,28,52,38,118
week8,144,exp,48,43,15,106
week8,147,exp,73,25,14,112
week8,179,exp,61,24,21,106
week8,215,exp,53,26,17,96
week8,216,exp,77,17,26,120
week8,217,exp,54,32,41,127
week8,218,exp,63,28,32,123
week8,224,ctrl,60,24,25,109
week8,405,exp,45,60,22,127
week8,406,ctrl,51,57,20,128
week8,414,exp,47,57,22,126
